rank,libCode,libName,address,BookCount,homepage
1,111010,서울특별시교육청남산도서관,서울특별시 용산구 소월로 109,725520,http://nslib.sen.go.kr/
2,111314,서울도서관,서울특별시 중구 세종대로 110,618824,http://lib.seoul.go.kr/
3,111019,서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160,507396,http://yslib.sen.go.kr/
4,111020,서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48,501769,http://jdlib.sen.go.kr/
5,111014,서울특별시교육청마포평생학습관,서울특별시 마포구 홍익로2길 16,465332,http://mpllc.sen.go.kr/
6,111012,서울특별시교육청동대문도서관,서울특별시 동대문구 천호대로4길 22,457443,http://ddmlib.sen.go.kr/
7,111011,서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556,446927,http://dblib.sen.go.kr/
8,111015,서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113,446841,http://yclib.sen.go.kr/
9,111035,성동구립도서관,서울특별시 성동구 고산자로10길 9,446029,https://www.sdlib.or.kr/SD/
10,111022,서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13,434748,http://nwllc.sen.go.kr/
11,111016,서울특별시교육청서대문도서관,서울특별시 서대문구 모래내로 412,427436,http://sdmlib.sen.go.kr/
12,111006,서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30,423199,http://gplib.sen.go.kr/
13,111005,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29,422370,http://gslib.sen.go.kr/
14,111036,광진정보도서관,서울특별시 광진구 아차산로78길 90,407162,http://www.gwangjinlib.seoul.kr/
15,111007,서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로 295,392729,http://gdllc.sen.go.kr/
16,111004,서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57,389341,http://gdlib.sen.go.kr/
17,111008,서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31,366267,http://gclib.sen.go.kr/
18,111042,은평구립도서관,서울특별시 은평구 통일로78가길 13-84,338126,http://www.eplib.or.kr/
19,111045,관악중앙도서관,서울특별시 관악구 신림로3길 35,330180,http://lib.gwanak.go.kr/
20,111034,중랑구립정보도서관,서울특별시 중랑구 신내로15길 197,327015,http://www.jungnanglib.seoul.kr/jnlib/
21,111017,서울특별시교육청서울시립어린이도서관,서울특별시 종로구 사직로 9길 7,325858,http://childlib.sen.go.kr/
22,111003,서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45,297822,http://gnlib.sen.go.kr/
23,111044,성북정보도서관,서울특별시 성북구 화랑로18자길 13 ,280003,https://www.sblib.seoul.kr/
24,111031,서울특별시교육청마포평생학습관아현분관,서울특별시 마포구 마포대로 224,275018,http://ahyon.sen.go.kr/
25,111467,마포중앙도서관,서울특별시 마포구 성산로 128,270494,https://mplib.mapo.go.kr/mcl/
26,111051,서대문구립이진아기념도서관,서울특별시 서대문구 독립문공원길 80,269039,http://lib.sdm.or.kr
27,111065,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60 ,257493,https://www.l4d.or.kr/info/index.do
28,111009,서울특별시교육청구로도서관,서울특별시 구로구 공원로 15,253045,http://grlib.sen.go.kr/
29,111041,도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,251032,http://www.unilib.dobong.kr/
30,111030,서울특별시교육청송파도서관,서울특별시 송파구 동남로 263,235612,https://splib.sen.go.kr/
31,111018,서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10,234140,http://ydpllc.sen.go.kr/
32,111377,서초구립반포도서관,서울특별시 서초구 고무래로 34,227372,http://www.seocholib.or.kr/
33,111048,아리랑도서관,서울특별시 성북구 아리랑로 82 ,219730,https://www.sblib.seoul.kr/arlib
34,111037,강북문화정보도서관,서울특별시 강북구 오현로 145,211869,https://www.gblib.or.kr/gangbuk/
35,111040,금천구립독산도서관,서울특별시 금천구 독산로54길 114,194663,http://geumcheonlib.seoul.kr
36,111068,성동구립 금호도서관,서울특별시 성동구 난계로 20,191864,https://www.sdlib.or.kr/KH/
37,111058,노원중앙도서관,서울특별시 노원구 노원로34길 43,186379,https://nowonlib.kr/jungang
38,111076,성동구립 용답도서관,서울특별시 성동구 용답중앙3길 10,179285,https://www.sdlib.or.kr/YD/
39,111117,송파어린이도서관,서울특별시 송파구 올림픽로 105,160296,https://www.splib.or.kr/spclib/index.do
40,111077,금천구립가산도서관,서울특별시 금천구 가산로5길 43,157155,http://geumcheonlib.seoul.kr
41,111442,성동구립 청계도서관,서울특별시 성동구 마장로 141,155872,https://www.sdlib.or.kr/CG/
42,111445,동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,143535,https://www.l4d.or.kr/dsn/index.do
43,111435,송파글마루도서관,서울특별시 송파구 충민로 120,143264,https://www.splib.or.kr/spjlib/
44,111189,도봉아이나라도서관,서울특별시 도봉구 노해로69길 151,137563,http://www.unilib.dobong.kr/
45,111347,강남구립도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,127152,https://library.gangnam.go.kr/dogoklib/
46,111434,금천구립시흥도서관,서울특별시 금천구 금하로 764,126774,http://geumcheonlib.seoul.kr
47,111116,중곡문화체육센터도서관,서울특별시 광진구 능동로 433,126364,http://www.gwangjinlib.seoul.kr/
48,111549,강동중앙도서관,서울특별시 강동구 양재대로84길 63,124463,https://www.gdlibrary.or.kr
49,111099,구로꿈나무어린이도서관,서울특별시 구로구 구로동로26길 54,123564,https://lib.guro.go.kr
50,111083,대림도서관,서울특별시 영등포구 도신로 27,122541,https://www.ydplib.or.kr/drlib
51,111461,영어특성화도서관,"서울특별시 양천구 목동동로 81, 7층",122430,https://lib.yangcheon.or.kr/libeng
52,111111,문래도서관,서울특별시 영등포구 문래로20길 49,122349,https://www.ydplib.or.kr/mllib
53,111113,금천구립금나래도서관,서울특별시 금천구 시흥대로73길 70,122007,http://geumcheonlib.seoul.kr
54,111062,글빛정보도서관,서울특별시 관악구 관악로30길 23,120760,http://lib.gwanak.go.kr/
55,111047,노원어린이도서관,서울특별시 노원구 한글비석로 346,118787,https://nowonlib.kr/nowonchild
56,111504,양천중앙도서관,서울특별시 양천구 신정로7길 81,117290,https://lib.yangcheon.or.kr/yclib
57,111309,강서구립등빛도서관,서울특별시 강서구 강서로62길 48,115351,http://lib.gangseo.seoul.kr/
58,111493,서초구립양재도서관,서울특별시 서초구 양재천로 33,111598,https://yangjae.seocholib.or.kr/
59,111060,중랑구립면목정보도서관,서울특별시 중랑구 면목로 397,110982,http://www.jungnanglib.seoul.kr/mmlib/
60,111107,약수도서관,서울특별시 동작구 양녕로22바길 64,109270,https://lib.dongjak.go.kr/
61,111108,가온도서관,서울특별시 중구 동호로 14길 18,107552,https://www.junggulib.or.kr
62,111013,서울특별시교육청동작도서관,서울특별시 동작구 장승배기로 94,107002,http://djlib.sen.go.kr/
63,111476,서초구립내곡도서관,서울특별시 서초구 청계산로7길 9-20,104870,http://naegok.seocholib.or.kr/
64,111311,중랑숲어린이도서관,서울특별시 중랑구 망우로73길 46-1,100107,http://www.jungnanglib.seoul.kr/suplib/
65,111098,강서구립꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,98173,http://lib.gangseo.seoul.kr/
66,111179,남가좌새롬어린이도서관,서울특별시 서대문구 증가로10길 16-15,97463,http://lib.sdm.or.kr
67,111458,구립구산동도서관마을,서울특별시 은평구 연서로13길 29-23,95673,http://www.gsvlib.or.kr/
68,111125,강동구립강일도서관,"서울특별시 강동구 아리수로93길 9-14, 5층",95000,http://www.gdlibrary.or.kr/gilib
69,111176,강동구립암사도서관,서울특별시 강동구 고덕로20길 42,95000,http://www.gdlibrary.or.kr/aslib
